1	(0, 0, 0)
	(10, 0, 0)
	(10, 10, 0)
	(0, 10, 0)
	(0, 0, 10)
	(10, 0, 10)
	(10, 10, 10)
	(0, 10, 10)
2	(0, 10, 0)
	(10, 10, 0)
	(10, 20, 0)
	(0, 20, 0)
	(0, 10, 10)
	(10, 10, 10)
	(10, 20, 10)
	(0, 20, 10)
3	(0, 20, 0)
	(10, 20, 0)
	(10, 30, 0)
	(0, 30, 0)
	(0, 20, 10)
	(10, 20, 10)
	(10, 30, 10)
	(0, 30, 10)
4	(0, 30, 0)
	(10, 30, 0)
	(10, 40, 0)
	(0, 40, 0)
	(0, 30, 10)
	(10, 30, 10)
	(10, 40, 10)
	(0, 40, 10)
5	(0, 40, 0)
	(10, 40, 0)
	(10, 50, 0)
	(0, 50, 0)
	(0, 40, 10)
	(10, 40, 10)
	(10, 50, 10)
	(0, 50, 10)
6	(0, 50, 0)
	(10, 50, 0)
	(10, 60, 0)
	(0, 60, 0)
	(0, 50, 10)
	(10, 50, 10)
	(10, 60, 10)
	(0, 60, 10)
7	(0, 60, 0)
	(10, 60, 0)
	(10, 70, 0)
	(0, 70, 0)
	(0, 60, 10)
	(10, 60, 10)
	(10, 70, 10)
	(0, 70, 10)
8	(0, 70, 0)
	(10, 70, 0)
	(10, 80, 0)
	(0, 80, 0)
	(0, 70, 10)
	(10, 70, 10)
	(10, 80, 10)
	(0, 80, 10)
9	(0, 80, 0)
	(10, 80, 0)
	(10, 90, 0)
	(0, 90, 0)
	(0, 80, 10)
	(10, 80, 10)
	(10, 90, 10)
	(0, 90, 10)
10	(0, 90, 0)
	(10, 90, 0)
	(10, 100, 0)
	(0, 100, 0)
	(0, 90, 10)
	(10, 90, 10)
	(10, 100, 10)
	(0, 100, 10)
11	(10, 0, 0)
	(20, 0, 0)
	(20, 10, 0)
	(10, 10, 0)
	(10, 0, 10)
	(20, 0, 10)
	(20, 10, 10)
	(10, 10, 10)
12	(10, 10, 0)
	(20, 10, 0)
	(20, 20, 0)
	(10, 20, 0)
	(10, 10, 10)
	(20, 10, 10)
	(20, 20, 10)
	(10, 20, 10)
13	(10, 20, 0)
	(20, 20, 0)
	(20, 30, 0)
	(10, 30, 0)
	(10, 20, 10)
	(20, 20, 10)
	(20, 30, 10)
	(10, 30, 10)
14	(10, 30, 0)
	(20, 30, 0)
	(20, 40, 0)
	(10, 40, 0)
	(10, 30, 10)
	(20, 30, 10)
	(20, 40, 10)
	(10, 40, 10)
15	(10, 40, 0)
	(20, 40, 0)
	(20, 50, 0)
	(10, 50, 0)
	(10, 40, 10)
	(20, 40, 10)
	(20, 50, 10)
	(10, 50, 10)
16	(10, 50, 0)
	(20, 50, 0)
	(20, 60, 0)
	(10, 60, 0)
	(10, 50, 10)
	(20, 50, 10)
	(20, 60, 10)
	(10, 60, 10)
